Subject,Time point,Reference,Dice,Jaccard,PPV,TPR,LFPR,LTPR,VD,SD,Manual Volume,Segmentation Volume
test10,5,2,0.7721,0.6288,0.9337,0.6583,0.1159,0.4486,0.295,1.2708,37224,26244
test10,6,2,0.7693,0.6251,0.9076,0.6677,0.1192,0.5368,0.2643,1.0728,34070,25064
test11,1,1,0.7707,0.6269,0.9004,0.6736,0.2143,0.6667,0.2519,1.0912,9090,6800
test11,2,1,0.7902,0.6531,0.9396,0.6818,0.2439,0.75,0.2744,1.0578,10153,7367
test11,3,1,0.771,0.6273,0.9684,0.6405,0.3019,0.8235,0.3386,1.0024,9607,6354
test11,4,1,0.7332,0.5788,0.9669,0.5905,0.1591,0.6944,0.3893,1.1613,9101,5558
test11,5,1,0.755,0.6064,0.966,0.6196,0.2273,0.8065,0.3586,1.1655,9448,6060
test11,1,2,0.583,0.4114,0.9796,0.415,0.0952,0.2955,0.5764,1.8819,16052,6800
test11,2,2,0.6013,0.4299,0.984,0.4329,0.1463,0.3091,0.5601,1.6356,16746,7367
test11,3,2,0.5738,0.4023,0.9789,0.4058,0.1321,0.1552,0.5854,1.7901,15326,6354
test11,4,2,0.5718,0.4003,0.9869,0.4025,0.0909,0.125,0.5922,2.0067,13628,5558
test11,5,2,0.5638,0.3926,0.9842,0.3951,0.1591,0.123,0.5986,1.9943,15096,6060
test12,1,1,0.8085,0.6786,0.7941,0.8235,0.4026,0.8571,0.037,0.5907,15400,15970
test12,2,1,0.8003,0.6671,0.7956,0.8051,0.5357,0.9206,0.0121,0.6699,15678,15867
test12,3,1,0.8088,0.6789,0.7637,0.8595,0.5495,0.9194,0.1255,0.6958,16083,18102
test12,4,1,0.809,0.6792,0.7654,0.8578,0.5179,0.9538,0.1206,0.75,15832,17742
test12,1,2,0.5736,0.4021,0.9689,0.4074,0.1818,0.2562,0.5795,2.1922,37980,15970
test12,2,2,0.6659,0.4992,0.9007,0.5282,0.2321,0.3389,0.4135,1.8564,27056,15867
test12,3,2,0.7369,0.5834,0.7923,0.6887,0.3333,0.5664,0.1307,1.3307,20824,18102
test12,4,2,0.7232,0.5665,0.9131,0.5988,0.1518,0.3778,0.3442,1.4647,27056,17742
test13,1,1,0.3218,0.1917,0.9604,0.1933,0.1667,0.5,0.7988,6.228,3384,681
test13,2,1,0.3217,0.1917,0.9199,0.1949,0.3077,0.45,0.7881,7.1842,3242,687
test13,3,1,0.3123,0.1851,0.9596,0.1865,0,0.4211,0.8056,8.5777,3308,643
test13,4,1,0.3603,0.2197,0.9518,0.2222,0.3125,0.5333,0.7666,6.4396,2930,684
test13,1,2,0.3807,0.2351,0.9339,0.2391,0.3333,0.3889,0.744,5.9837,2660,681
test13,2,2,0.508,0.3405,0.901,0.3537,0.3846,0.3636,0.6074,8.3784,1750,687
test13,3,2,0.7515,0.6019,0.9005,0.6448,0.3333,0.75,0.284,1.8865,898,643
